ANIO;MES;AREA;ESTRATO;LLAVE_PANEL;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C306A;C308_COD;C309_COD;C310;C311;C312;C313;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;C318_T;C328_T;whoraT;C330;C331;C333;C334;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C347_T;C348;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;C361_1;C362_1;C361_2;C362_2;C361_3;C362_3;C361_4;C362_4;C361_5;C362_5;C361_6;C362_6;C361_7;C362_7;C361_8;C362_8;C364_1;C365_1;C364_2;C365_2;C364_3;C365_3;C364_4;C365_4;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;D341_T;D344;D347_T;D350;D351_T;I339_1;I342;I345_1;I348;INGTOT;INGTOTP;ingtrabw;RESIDENT;FAC_T300
2023;4;1;1;2.02E+22;23027;1;13;1;6;7;1;2; ;2;30;6;6;14;9;1992;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;5;4;1;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;2; ; ; ; ; ; ; ; ; ; ; ; ;1;660.948.900.524.141
2023;4;1;1;2.02E+22;23027;1;13;1;7;8;1;2; ;2;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
2023;4;1;1;2.02E+22;23027;1;13;1;5;7;1;2; ;2;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
2023;4;1;1;2.02E+22;19753;1;61;1;1;1;1;2; ;2;50;1;1;14;2;1973;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3314;4773;1; ;1; ;1;3;6;11;11;11;11;11;12;73; ;73;1; ;1;2;2;2; ; ; ;7000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ;8;2; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;7000; ; ;7000;7000;7000;1;643.398.597.993.461
2023;4;1;1;2.02E+22;19753;1;61;1;2;3;1;2; ;2;17;2;2;1;9;2005;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;2; ; ; ; ;2;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;895.598.100.371.112
2023;4;1;1;2.02E+22;19753;1;61;1;3;7;1;2; ;2;57;3;3;13;1;1966;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;1;1;6; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;4;5; ;2;2;2;2;2;2;10;9;4; ; ; ; ; ; ; ; ; ; ; ; ;1;643.398.597.993.461
2023;4;1;1;2.02E+22;28355;1;88;1;1;1;1;2; ;1;78;1;1;26;11;1944;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8321;4922;2; ;3;2;1;1;3;3;3;3;3;0;0;15; ;21;2;21;2; ;2;2; ; ; ;606; ; ; ; ; ; ; ; ; ; ; ; ;1;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ;3;0; ;2;2;2;2;2;2;10;8;1; ; ; ; ; ; ;570; ; ;570;570;570;1;707.086.349.347.815
2023;4;1;1;2.02E+22;28355;1;88;1;2;3;1;2; ;1;51;2;2;6;8;1971;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7128;4330;2; ;3;2;1;1;0;0;10;10;0;0;0;20; ;20;1; ;1;1;1;1; ; ; ;1250; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;1;5;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;1220; ; ;1220;1220;1220;1;707.086.349.347.815
2023;4;1;1;2.02E+22;28355;1;88;1;3;3;1;2; ;1;54;3;3;26;1;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8321;4922;2; ;3;2;1;1;8;8;8;8;6;0;0;38; ;56;2;56;2; ;2;2; ; ; ;1819; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;1768; ; ;1768;1768;1768;1;707.086.349.347.815
2023;4;1;1;2.02E+22;28355;1;88;1;4;5;1;2; ;1;22;4;4;5;12;2000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;2; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;8;2; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;798.406.932.682.048
